ID,Date,Alp,TL,BTL,P1,Problem 2 Icon,P3,AddCon
20488,4/17/2018 0:00,Moderate,Moderate,Moderate,LooseWet.png,NOICON.gif,,PersistentSlabs.png
20489,4/19/2018 0:00,Moderate,Moderate,Moderate,StormSlabs.png,LooseWet.png,,Cornice.png
20490,4/21/2018 0:00,Moderate,Moderate,Moderate,StormSlabs.png,LooseWet.png,,Cornice.png
20491,4/22/2018 0:00,Considerable,Considerable,Moderate,StormSlabs.png,LooseWet.png,,Cornice.png
20492,4/24/2018 0:00,High,Considerable,Considerable,StormSlabs.png,LooseWet.png,,Cornice.png
20493,4/26/2018 0:00,Moderate,Moderate,Moderate,LooseWet.png,StormSlabs.png,,Cornice.png
20494,4/28/2018 0:00,No Rating,No Rating,No Rating,icon-nodata.gif,icon-nodata.gif,,NOICON.gif
20495,10/22/2018 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,NOICON.gif
20496,10/31/2018 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,NOICON.gif
20497,11/5/2018 0:00,No Rating,No Rating,No Rating,icon-avalanche.gif,NOICON.gif,,NOICON.gif
20498,11/7/2018 0:00,No Rating,No Rating,No Rating,icon-avalanche.gif,NOICON.gif,,NOICON.gif
20499,11/10/2018 0:00,No Rating,No Rating,No Rating,icon-avalanche.gif,NOICON.gif,,NOICON.gif
20500,11/13/2018 0:00,No Rating,No Rating,No Rating,icon-avalanche.gif,NOICON.gif,,NOICON.gif
20501,11/19/2018 0:00,No Rating,No Rating,No Rating,icon-avalanche.gif,NOICON.gif,,NOICON.gif
20502,11/23/2018 0:00,No Rating,No Rating,No Rating,icon-avalanche.gif,NOICON.gif,,NOICON.gif
20503,11/25/2018 0:00,High,Considerable,No Rating,StormSlabs.png,NOICON.gif,,NOICON.gif
20504,11/26/2018 0:00,High,Considerable,No Rating,StormSlabs.png,NOICON.gif,,NOICON.gif
20505,11/27/2018 0:00,High,Considerable,No Rating,StormSlabs.png,NOICON.gif,,NOICON.gif
20506,11/29/2018 0:00,Moderate,Low,No Rating,StormSlabs.png,NOICON.gif,,NOICON.gif
20507,11/30/2018 0:00,Moderate,Low,No Rating,PersistentSlabs.png,WindSlabs.png,,NOICON.gif
20508,12/1/2018 0:00,Moderate,Low,No Rating,PersistentSlabs.png,WindSlabs.png,,NOICON.gif
20509,12/2/2018 0:00,Moderate,Low,No Rating,PersistentSlabs.png,WindSlabs.png,,NOICON.gif
20510,12/3/2018 0:00,Moderate,Low,No Rating,PersistentSlabs.png,WindSlabs.png,,NOICON.gif
20511,12/4/2018 0:00,Moderate,Low,No Rating,WindSlabs.png,PersistentSlabs.png,,NOICON.gif
20512,12/6/2018 0:00,Moderate,Low,No Rating,WindSlabs.png,PersistentSlabs.png,,NOICON.gif
20513,12/7/2018 0:00,High,High,High,StormSlabs.png,NOICON.gif,,NOICON.gif
20514,12/8/2018 0:00,High,High,Considerable,StormSlabs.png,NOICON.gif,,NOICON.gif
20515,12/9/2018 0:00,Considerable,Considerable,Low,StormSlabs.png,NOICON.gif,,NOICON.gif
20516,12/10/2018 0:00,Moderate,Low,Low,WindSlabs.png,NOICON.gif,,PersistentSlabs.png
20517,12/11/2018 0:00,Moderate,Low,Low,WindSlabs.png,NOICON.gif,,PersistentSlabs.png
20518,12/14/2018 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20519,12/15/2018 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20520,12/16/2018 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20521,12/17/2018 0:00,Considerable,Considerable,Moderate,StormSlabs.png,PersistentSlabs.png,,Glide.png
20522,12/18/2018 0:00,Moderate,Moderate,Low,StormSlabs.png,PersistentSlabs.png,,Glide.png
20523,12/21/2018 0:00,Considerable,Considerable,Considerable,StormSlabs.png,PersistentSlabs.png,,Glide.png
20524,12/22/2018 0:00,Considerable,Moderate,Moderate,WindSlabs.png,PersistentSlabs.png,,Glide.png
20525,12/23/2018 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20526,12/24/2018 0:00,Moderate,Moderate,Low,Cornice.png,PersistentSlabs.png,,Glide.png
20527,12/25/2018 0:00,Moderate,Moderate,Low,Cornice.png,PersistentSlabs.png,,Glide.png
20528,12/26/2018 0:00,Moderate,Moderate,Low,Cornice.png,PersistentSlabs.png,,Glide.png
20529,12/27/2018 0:00,Moderate,Moderate,Low,Cornice.png,PersistentSlabs.png,,Glide.png
20530,12/28/2018 0:00,Moderate,Moderate,Low,Cornice.png,Glide.png,,PersistentSlabs.png
20531,12/29/2018 0:00,Moderate,Low,Low,WindSlabs.png,Glide.png,,PersistentSlabs.png
20532,12/30/2018 0:00,Considerable,Considerable,Moderate,StormSlabs.png,Glide.png,,PersistentSlabs.png
20533,12/31/2018 0:00,Considerable,Considerable,Considerable,StormSlabs.png,Glide.png,,PersistentSlabs.png
20534,1/1/2019 0:00,High,Considerable,Considerable,StormSlabs.png,Glide.png,,PersistentSlabs.png
20535,1/2/2019 0:00,Considerable,Considerable,Moderate,StormSlabs.png,Glide.png,,PersistentSlabs.png
20536,1/3/2019 0:00,Moderate,Moderate,Low,WindSlabs.png,Glide.png,,PersistentSlabs.png
20537,1/4/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,Glide.png,,NOICON.gif
20538,1/5/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,Glide.png,,NOICON.gif
20539,1/6/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,Glide.png,,NOICON.gif
20540,1/7/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,Glide.png,,NOICON.gif
20541,1/8/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,PersistentSlabs.png
20542,1/9/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,PersistentSlabs.png
20543,1/10/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,PersistentSlabs.png
20544,1/11/2019 0:00,Low,Low,Low,WindSlabs.png,NOICON.gif,,PersistentSlabs.png
20545,1/12/2019 0:00,Considerable,Moderate,Moderate,WindSlabs.png,PersistentSlabs.png,,Glide.png
20546,1/13/2019 0:00,Considerable,Considerable,Moderate,StormSlabs.png,PersistentSlabs.png,,Glide.png
20547,1/14/2019 0:00,Considerable,Considerable,Moderate,WindSlabs.png,PersistentSlabs.png,,Glide.png
20548,1/15/2019 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20549,1/16/2019 0:00,Moderate,Low,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20550,1/17/2019 0:00,Moderate,Low,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
20551,1/18/2019 0:00,Moderate,Low,Low,PersistentSlabs.png,Cornice.png,,Glide.png
20552,1/19/2019 0:00,Moderate,Low,Low,PersistentSlabs.png,NOICON.gif,,Glide.png
20553,1/20/2019 0:00,Low,Low,Low,PersistentSlabs.png,NOICON.gif,,Glide.png
20554,1/21/2019 0:00,Low,Low,Low,icon-low.gif,NOICON.gif,,PersistentSlabs.png
20555,1/22/2019 0:00,Moderate,Low,Low,StormSlabs.png,NOICON.gif,,PersistentSlabs.png
20556,1/23/2019 0:00,Considerable,Considerable,Considerable,StormSlabs.png,NOICON.gif,,PersistentSlabs.png
20557,1/24/2019 0:00,High,High,Considerable,StormSlabs.png,LooseWet.png,,PersistentSlabs.png
20558,1/25/2019 0:00,High,Considerable,Considerable,StormSlabs.png,LooseWet.png,,PersistentSlabs.png
20559,1/26/2019 0:00,Considerable,Considerable,Moderate,StormSlabs.png,Cornice.png,,NOICON.gif
20560,1/27/2019 0:00,Considerable,Considerable,Low,PersistentSlabs.png,Cornice.png,,NOICON.gif
20561,1/28/2019 0:00,Considerable,Moderate,Low,PersistentSlabs.png,NOICON.gif,,NOICON.gif
20562,1/29/2019 0:00,Considerable,Considerable,Low,PersistentSlabs.png,WindSlabs.png,,NOICON.gif
20563,1/30/2019 0:00,Considerable,Moderate,Low,PersistentSlabs.png,NOICON.gif,,WindSlabs.png
20564,1/31/2019 0:00,Considerable,Moderate,Low,PersistentSlabs.png,Cornice.png,,NOICON.gif
20565,2/1/2019 0:00,Moderate,Moderate,Low,PersistentSlabs.png,WindSlabs.png,,NOICON.gif
